"","workerid","noun","gender","nounclass","slide_number","predicate","class","response","language","comments","asses","test1","test2","test3","dialect","lived","describe","years","proficiency"
"746","vi. 29","couch","Female","furniture",23,"green","color",0.19,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"747","vi. 29","tomato","Female","food",24,"small","size",0.71,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"748","vi. 29","desk","Female","furniture",25,"round","shape",0.2,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"749","vi. 29","fan","Female","furniture",26,"metal","material",0.17,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"750","vi. 29","carrot","Female","food",27,"huge","size",0.86,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"876","vi. 35","cheese","Male","food",3,"fresh","age",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"877","vi. 35","TV","Male","furniture",4,"rotten","age",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"878","vi. 35","chair","Male","furniture",5,"brown","color",0.47,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"879","vi. 35","fan","Male","furniture",6,"old","age",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"880","vi. 35","cheese","Male","food",7,"big","size",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"881","vi. 35","fan","Male","furniture",8,"hard","texture",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"882","vi. 35","couch","Male","furniture",9,"plastic","material",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"883","vi. 35","chair","Male","furniture",10,"huge","size",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"884","vi. 35","tomato","Male","food",11,"yellow","color",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"885","vi. 35","tomato","Male","food",12,"smooth","texture",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"886","vi. 35","couch","Male","furniture",13,"square","shape",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"887","vi. 35","apple","Male","food",14,"blue","color",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"888","vi. 35","apple","Male","food",15,"bad","quality",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"889","vi. 35","couch","Male","furniture",16,"good","quality",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"890","vi. 35","chair","Male","furniture",17,"soft","texture",0.53,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"891","vi. 35","banana","Male","food",18,"wooden","material",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"892","vi. 35","desk","Male","furniture",19,"metal","material",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"893","vi. 35","banana","Male","food",20,"long","size",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"894","vi. 35","fan","Male","furniture",21,"green","color",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"895","vi. 35","fan","Male","furniture",22,"short","size",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"896","vi. 35","apple","Male","food",23,"new","age",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"897","vi. 35","carrot","Male","food",24,"small","size",1,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"898","vi. 35","couch","Male","furniture",25,"purple","color",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"899","vi. 35","cheese","Male","food",26,"red","color",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"900","vi. 35","cheese","Male","food",27,"round","shape",0,"اللغة العربية","","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"976","vi. 39","couch","Male","furniture",3,"plastic","material",0.75,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"977","vi. 39","cheese","Male","food",4,"brown","color",0.04,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"978","vi. 39","cheese","Male","food",5,"good","quality",0.84,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"979","vi. 39","banana","Male","food",6,"soft","texture",0.56,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"980","vi. 39","cheese","Male","food",7,"big","size",0.88,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"981","vi. 39","desk","Male","furniture",8,"long","size",0.85,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"982","vi. 39","TV","Male","furniture",9,"new","age",0.89,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"983","vi. 39","apple","Male","food",10,"blue","color",0.09,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"984","vi. 39","carrot","Male","food",11,"purple","color",0.09,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"985","vi. 39","apple","Male","food",12,"hard","texture",0.88,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"986","vi. 39","apple","Male","food",13,"metal","material",0.19,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"987","vi. 39","fan","Male","furniture",14,"green","color",0.1,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"988","vi. 39","fan","Male","furniture",15,"wooden","material",0.28,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"989","vi. 39","apple","Male","food",16,"bad","quality",0.77,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"990","vi. 39","TV","Male","furniture",17,"square","shape",0.03,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"991","vi. 39","carrot","Male","food",18,"round","shape",0.09,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"992","vi. 39","fan","Male","furniture",19,"rotten","age",0.48,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"993","vi. 39","couch","Male","furniture",20,"small","size",0.81,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"994","vi. 39","tomato","Male","food",21,"huge","size",0.8,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"995","vi. 39","cheese","Male","food",22,"fresh","age",0.84,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"996","vi. 39","desk","Male","furniture",23,"smooth","texture",0.48,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"997","vi. 39","apple","Male","food",24,"yellow","color",0.1,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"998","vi. 39","cheese","Male","food",25,"short","size",0.75,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"999","vi. 39","banana","Male","food",26,"red","color",0.08,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"1000","vi. 39","tomato","Male","food",27,"old","age",0.77,"arabic","اشكركم كان اختبار جديد","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","intermediate"
"1001","vi. 40","chair","Female","furniture",3,"old","age",0.75,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1002","vi. 40","chair","Female","furniture",4,"red","color",0.98,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1003","vi. 40","tomato","Female","food",5,"purple","color",0.33,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1004","vi. 40","apple","Female","food",6,"small","size",1,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1005","vi. 40","tomato","Female","food",7,"huge","size",0.02,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1006","vi. 40","couch","Female","furniture",8,"yellow","color",0.01,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1007","vi. 40","desk","Female","furniture",9,"long","size",0.96,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1008","vi. 40","couch","Female","furniture",10,"big","size",0.02,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1009","vi. 40","tomato","Female","food",11,"green","color",0.99,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1010","vi. 40","TV","Female","furniture",12,"blue","color",0.95,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1011","vi. 40","banana","Female","food",13,"wooden","material",0.04,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1012","vi. 40","cheese","Female","food",14,"smooth","texture",0.91,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1013","vi. 40","desk","Female","furniture",15,"fresh","age",0,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1014","vi. 40","cheese","Female","food",16,"rotten","age",1,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1015","vi. 40","couch","Female","furniture",17,"hard","texture",0.03,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1016","vi. 40","banana","Female","food",18,"short","size",0.01,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1017","vi. 40","banana","Female","food",19,"bad","quality",0.96,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1018","vi. 40","cheese","Female","food",20,"round","shape",0.99,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1019","vi. 40","chair","Female","furniture",21,"new","age",1,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1020","vi. 40","apple","Female","food",22,"good","quality",1,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1021","vi. 40","couch","Female","furniture",23,"plastic","material",0.02,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1022","vi. 40","couch","Female","furniture",24,"square","shape",0.07,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
"1023","vi. 40","tomato","Female","food",25,"brown","color",0.17,"اللغة ألعربية","هناك بعض ألاخطاء اللغوية وجدتها اثناء اكمال مهمتي في هذا الدراسة.
الخطاء كان في خانة الأسالة الشخصية ، تحديداً في المستوى التعليمي
وكان هناك خيار بعض الجامعة ! وهذا جملة خاطئة باللغة العربية
اظن انها تمت ترجمتها حرفياً من اللغة الانجليزية
والاصح ان يكون الخيار : لم اكمل دراستي الجامعية .
هذا كل ما لدي. لقد استمتعت حقاً بمشاركتي في هذا الدراسة.
اتمنى لكم حظاً سعيداً يارفاق","Yes","correct","correct","correct","iraqi","both","arabic-arabic","5+","advanced"
